"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-5251b854947142e5a5a14e501cd463d4"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-8182cb97976643008a6e18d96d2d3ae3"	""
"id-0094ed5be4d543649fa1b0bd645b2803"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-7daf54e4d38441d991738ed5bf956af1"	""
"id-e670f69a767d45e7b1cbaa2c213a4515"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-aef32662a2ef47f49894a22cafa58903"	""
"id-134bc10a18dc4b7dbbb0a23b3ac17615"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-cfabb48231a94c17839097dcda51f737"	""
"id-a700354841564a7c853b2cda48ae94e8"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-26c659e694574ee78a5305735e05549b"	""
"id-c9ef0243f28a4d37927d2cf00bd4d267"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-6a82c8fe006d43578c863bcb0bb8a3fd"	""
"id-211dadb216d940d3a47a15737388127d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-139538342bb04d04843f91e0978905ac"	""
"id-efda07a29d1a47f9afad4c0525c4a0e7"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-8f399928269d4cc69482fd6b2791a49a"	""
"id-1ea10137cef94be388919d16fb82b47e"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-7bb8e81849724329b5292c62d588982e"	""
"id-e6ec750851f54a4ab9e7f61a75c45204"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-6652bf39e6e84c62bb0484c6bfef95d4"	""
"id-374f598ffd2c432e8780fda56b872ff5"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-eb83ac5c3ccf41eca4ab3feb6af43cd4"	""
"id-08f0b27225db42dd8ee1107d10571ea9"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-c6194499f1754395b3afc389896ff1f7"	""
"id-e9840e479d1b4f0da7345b193c62ee6f"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-0c218c9686a0484d9f07889bc33b9192"	""
"id-6269bf68dbcf47bf8a192bb38225fcbd"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-11c6a7ac1bf64871b01f2b36909c76ef"	""
"id-096214e7fc9b4b34bfeb1d98988f4425"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-0eefcd0e3c744925845941ddf350997f"	""
"id-73e8f85b13c84b6aaf5c0524568d3f2d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-689803dc532141f2aff67fb219bc4521"	""
"id-2c6d25b538ba498d87e55c9793c8e39f"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-aa67f7889c304e18bc52f0c4b48a698c"	""
"id-925b55e8102e40429ae94000bc23aa2a"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-82ce5c6bc861481baa3cec5c79e1d8d7"	""
"id-9928cf29506e493d9a567d2bfffbb461"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d6b23c2b651b4e1ca4513c1dde957496"	""
"id-d7dfd243c1364cc4a6a0061a645f699d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-fe3c299d8952422ebd4ed0e6b55d80f2"	""
"id-d1bfa108db564f85b041fe6d89b89a81"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-6f2e66603efb4773ba5f787ad4b03197"	""
"id-79107c5a67c44f88acac96751f50956e"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-83351599a5b441568f20a063e9722f15"	""
"id-31f3a0215eaa4d339709335a625a58c9"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-75ffad3481d0413ca75b4ced79868424"	""
"id-e1992b542ec6434a820dbb0faa8bb6a1"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-455d3576dcf84d7abe4cf83c9e91af18"	""
"id-b18c1f5fda9b49ea9a58db065bff88cd"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-43593b3004234cb3b0a4ef4c02bff8d5"	""
"id-f5e01368d9ba4b05ba6b0965ae4d32e6"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d11aadad73444de8a195c5491d8cdb30"	""
"id-3905c8ec438341b0bbc060829bd69a8e"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-a6f2ea9cfc8446d5a8919f517c3cad2c"	""
"id-769e1d2861cb44b6b2a33352a6e7ca6a"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-dec58c12b86c4815a75518bfee1a50d3"	""
"id-ef6b67fd8c98431bb30e1b9067b14aa4"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-d17b523cd3694470bab6b4bf7c39bf24"	""
