"ID"	"Key"	"Value"
"id-ab7e5befd283468b90ddc932bc158286"	"Directed"	"false"
"id-7d3c93e80d6b433e9f0a97d13caae627"	"Directed"	"false"
"id-abfcb404d4a742618d9584f7802fa7c0"	"Directed"	"false"
"id-678c667eed03422786ce5ba47fe6e290"	"Directed"	"false"
"id-a04059bf47c0433f8093cf826759fc03"	"Directed"	"false"
"id-7b362f2f1839432a98e12d54067737ba"	"Directed"	"false"
"id-ac7267b456ef43fdaeb6509dff00b9c9"	"Directed"	"false"
"id-ed29c5d22edb41cfa4b2cdcb7f9697c8"	"Directed"	"false"
"id-ee98e5f2ed1e44c6bdf5171f61c19117"	"Directed"	"false"
"id-df2b2cc7ae984686a0252e281b3f726c"	"Directed"	"false"
"id-98b3b88415a84bb087a219592b62e53d"	"Directed"	"false"
"id-1f6c4ec15a9b42fca8fd524543b4bf6d"	"Directed"	"false"
"id-2be68a64530c4ff8a9363f38fb85e66c"	"Directed"	"false"
"id-aa022ad239bf46f2b9dbd03ba133ea05"	"Directed"	"false"
"id-2ee1781c4cdb4d9aa9ced2354851e3fc"	"Directed"	"false"
"id-1888ebbd177c4ed3b1927e2244ad49f7"	"Directed"	"false"
"id-683082131cab49d8a278eef031bdb324"	"Directed"	"false"
"id-c5f7e0ca7adf4bea90fef50d1d0b8a3b"	"Directed"	"false"
"id-e37f60a555e946b3a7111d6cad94d82c"	"Directed"	"false"
"id-4d4b3dbcf02d4e24a8552bc31f7ccae6"	"Directed"	"false"
"id-42ed4b83ef39430e807c6b20c74d7782"	"Directed"	"false"
